	symbol	available_exchanges	currency_base	currency_quote
0	0xBTC/BTC	['Hotbit', 'Mercatox']	0xBitcoin	Bitcoin
1	0xBTC/ETH	['Hotbit', 'Mercatox']	0xBitcoin	Ethereum
2	0xBTC/USD	['Synthetic']	0xBitcoin	US Dollar
3	1000SATS/USD	['Binance']	SATS	US Dollar
4	1INCH/BTC	['Binance']	1inch	Bitcoin
5	1INCH/INR	['Bitbns']	1inch	Indian Rupee
6	1INCH/USD	['Binance', 'Huobi']	1inch	US Dollar
7	1ST/ETH	['HitBTC']	FirstBlood	Ethereum
8	1ST/USD	['Synthetic']	FirstBlood	US Dollar
9	2GIVE/USD	['Synthetic']	2GIVE	US Dollar
10	300/USD	['Synthetic']	300 Token	US Dollar
11	611/USD	['Synthetic']	SixEleven	US Dollar
12	808/USD	['Synthetic']	808Coin	US Dollar
13	888/BTC	['YoBit']	OctoCoin	Bitcoin
14	888/USD	['Synthetic']	OctoCoin	US Dollar
15	8BIT/USD	['Synthetic']	8Bit	US Dollar
16	999/USD	['Synthetic']	999	US Dollar
17	AAC/BTC	['CoinTiger']	Acute Angle Cloud	Bitcoin
18	AAC/USD	['OKEx']	Acute Angle Cloud	US Dollar
19	AAVE/BRL	['Synthetic']	Aave	Brazil Real
20	AAVE/BTC	['Bibox', 'Binance']	Aave	Bitcoin
21	AAVE/CAD	['Synthetic']	Aave	Canadian Dollar
22	AAVE/ETH	['Bibox', 'Binance']	Aave	Ethereum
23	AAVE/EUR	['Coinbase Pro', 'Kraken']	Aave	Euro
24	AAVE/INR	['Bitbns']	Aave	Indian Rupee
25	AAVE/TRY	['Paribu']	Aave	Turkish Lira
26	AAVE/USD	['Binance', 'Gate.io']	Aave	US Dollar
27	ABBC/BTC	['BitForex']	ABBC Coin	Bitcoin
28	ABBC/USD	['BitForex', 'DragonEX']	ABBC Coin	US Dollar
29	ABN/USD	['Synthetic']	Abncoin	US Dollar
30	ABT/USD	['OKEx']	Arcblock	US Dollar
31	ABY/USD	['Synthetic']	ArtByte	US Dollar
32	ACA/BTC	['Binance']	Acala Token	Bitcoin
33	ACA/BUSD	['Binance']	Acala Token	Binance USD
34	ACAT/BTC	['Hotbit']	Alphacat	Bitcoin
35	ACAT/ETH	['Hotbit']	Alphacat	Ethereum
36	ACAT/USD	['Synthetic']	Alphacat	US Dollar
37	ACA/USD	['Binance', 'Gate.io', 'KuCoin']	Acala Token	US Dollar
38	ACC/USD	['Synthetic']	AdCoin	US Dollar
39	ACES/USD	['Synthetic']	Aces	US Dollar
40	ACH/USD	['Coinbase Pro', 'Gate.io', 'Huobi']	Alchemy Pay	US Dollar
41	ACN/USD	['Synthetic']	Avoncoin	US Dollar
42	ACOIN/BTC	['YoBit']	Acoin	Bitcoin
43	ACOIN/USD	['Synthetic']	Acoin	US Dollar
44	ACP/USD	['Synthetic']	AnarchistsPrime	US Dollar
45	ACT/BTC	['Huobi', 'OKEx']	Achain	Bitcoin
46	ACT/ETH	['Huobi', 'Kucoin']	Achain	Ethereum
47	ACT/USD	['OKEx']	Achain	US Dollar
48	AC/USD	['Synthetic']	AsiaCoin	US Dollar
49	ADA/AUD	['Synthetic']	Cardano	Australian Dollar
50	ADA/BNB	['Binance']	Cardano	Binance Coin
51	ADA/BRL	['Binance', 'MercadoBitcoin', 'NovaDAX']	Cardano	Brazil Real
52	ADA/BTC	['Binance', 'HitBTC']	Cardano	Bitcoin
53	ADA/CAD	['Synthetic']	Cardano	Canadian Dollar
54	ADA/CNY	['Synthetic']	Cardano	Chinese Yuan
55	ADA/ETH	['Binance', 'Huobi']	Cardano	Ethereum
56	ADA/EUR	['Binance', 'Kraken', 'Synthetic']	Cardano	Euro
57	ADA/HKD	['Synthetic']	Cardano	Hong Kong Dollar
58	ADA/ILS	['Synthetic']	Cardano	Israeli Shekel
59	ADA/INR	['Bitbns', 'Synthetic']	Cardano	Indian Rupee
60	ADA/KRW	['Upbit']	Cardano	Korean Won
61	ADA/MXN	['Synthetic']	Cardano	Mexican Peso
62	ADA/MYR	['Synthetic']	Cardano	Malaysian Ringgit
63	ADA/PLN	['Synthetic']	Cardano	Polish Zloty
64	ADA/RUB	['Synthetic']	Cardano	Russian Ruble
65	ADA/SAR	['Synthetic']	Cardano	Saudi Riyal
